Repo name;created;#forks;#issues;#issues open;#issues closed;#comments;#users;users;locations
SEMICeu/Core-Person-Vocabulary;2017-09-13T07:52:29Z;5;46;1;0;0;1;['EmidioStani'];['Nantes']
SEMICeu/Core-Location-Vocabulary;2017-09-13T07:51:08Z;5;42;4;0;0;3;['VladimirAlexiev', 'jakubklimek', 'EmidioStani'];['Prague, Czechia', 'Nantes', 'Bulgaria']
SEMICeu/Core-Business-Vocabulary;2017-09-13T07:52:50Z;4;61;10;0;11;3;['bertvannuffelen', 'VladimirAlexiev', 'EmidioStani'];['Belgium', 'Nantes', 'Bulgaria']
SEMICeu/CPOV;2017-09-13T07:48:53Z;7;32;1;0;0;1;['EmidioStani'];['Nantes']
SEMICeu/CCCEV;2017-09-13T07:47:02Z;7;67;1;0;0;1;['EmidioStani'];['Nantes']
SEMICeu/Core-Public-Event-Vocabulary;2018-01-08T14:30:34Z;2;27;1;0;0;1;['EmidioStani'];['Nantes']
SEMICeu/CPSV;2017-09-13T07:53:08Z;0;4;0;0;0;0;[];[]
SEMICeu/CPSV-AP;2017-09-13T07:49:11Z;9;131;0;0;0;0;[];[]
SEMICeu/SDG-search-service-model;2020-01-29T09:49:55Z;3;48;0;0;0;0;[];[]
SEMICeu/ADMS;2022-09-23T08:23:36Z;0;11;0;0;0;0;[];[]
SEMICeu/ADMS-AP;2017-09-13T07:54:46Z;1;34;0;0;0;0;[];[]
SEMICeu/DCAT-AP;2017-09-13T07:53:27Z;24;431;16;1;14;13;['H-a-g-L', 'barthanssens', 'AntonioDAR', 'bertvannuffelen', 'jakubklimek', 'MPaunescu', 'nvgeorgieva', 'vbombaerts', 'mfuhrmans', 'peterlubrich', 'EmidioStani', 'HendrikBorgelt', 'StroemPhi'];['Italy', 'Hanover, Germany', 'Luxembourg', 'Brussels', 'Namur, Belgium', 'Belgium', 'Nantes', 'Prague, Czechia']
SEMICeu/StatDCAT-AP;2017-09-13T07:54:27Z;2;6;0;0;0;0;[];[]
SEMICeu/GeoDCAT-AP;2017-10-17T09:58:21Z;6;149;2;0;1;3;['jakubklimek', 'hm-raws', 'AntoRot'];['Prague, Czechia', 'Lancaster', 'Rome']
SEMICeu/BregDCAT-AP;2022-09-23T16:27:40Z;0;4;0;0;0;0;[];[]
SEMICeu/IOPA;2025-03-25T09:22:37Z;0;5;5;0;3;3;['EmielPwC', 'martjau', 'HendrikSchmidt'];['Belgium']
SEMICeu/LFDS-AP;2024-10-03T12:17:59Z;0;0;0;0;0;0;[];[]
SEMICeu/MLDCAT-AP;2023-01-16T20:12:21Z;1;22;0;0;0;0;[];[]
SEMICeu/STR-AP;2024-01-29T10:02:21Z;1;3;1;0;0;1;['backslash47'];[]
SEMICeu/LinkedDataEventStreams;2021-02-11T11:04:27Z;13;69;8;3;18;6;['sandervd', 'ajuvercr', 'smessie', 'rorlic', 'constraintAutomaton', 'pietercolpaert'];['Gent', 'Leuven, Belgium', 'Haacht, Belgium', 'Gent, Belgium']
SEMICeu/RRMV;2024-12-03T09:46:38Z;2;0;0;0;0;0;[];[]
TOTAL;;92;1192;50;4;47;26;['sandervd', 'MPaunescu', 'backslash47', 'vbombaerts', 'EmielPwC', 'smessie', 'barthanssens', 'VladimirAlexiev', 'jakubklimek', 'hm-raws', 'HendrikBorgelt', 'H-a-g-L', 'ajuvercr', 'HendrikSchmidt', 'AntonioDAR', 'bertvannuffelen', 'nvgeorgieva', 'mfuhrmans', 'peterlubrich', 'rorlic', 'constraintAutomaton', 'martjau', 'EmidioStani', 'AntoRot', 'StroemPhi', 'pietercolpaert'];['Italy', 'Bulgaria', 'Hanover, Germany', 'Luxembourg', 'Brussels', 'Namur, Belgium', 'Belgium', 'Nantes', 'Haacht, Belgium', 'Gent, Belgium', 'Prague, Czechia', 'Lancaster', 'Rome', 'Gent', 'Leuven, Belgium']
