Repo name;created;#forks;#issues;#issues open;#issues closed;issues;#comments;#users;users;locations
SEMICeu/Core-Person-Vocabulary;2017-09-13T07:52:29Z;5;46;1;3;[46, 44, 27, 23];9;5;['dimi-schepers', 'williamverbeeck', 'EmidioStani', 'RobWalker867', 'makxdekkers'];['Nantes']
SEMICeu/Core-Location-Vocabulary;2017-09-13T07:51:08Z;5;42;4;0;[42, 41, 40, 39];0;3;['jakubklimek', 'EmidioStani', 'VladimirAlexiev'];['Bulgaria', 'Prague, Czechia', 'Nantes']
SEMICeu/Core-Business-Vocabulary;2017-09-13T07:52:50Z;4;61;10;5;[61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 44, 30, 28, 26, 3];25;7;['akuckartz', 'EmielPwC', 'GeertThijs', 'EmidioStani', 'SusanneWigard', 'bertvannuffelen', 'VladimirAlexiev'];['Bulgaria', 'Belgium', 'Nantes']
SEMICeu/CPOV;2017-09-13T07:48:53Z;7;32;1;1;[32, 30];2;2;['jimjyang', 'EmidioStani'];['Nantes', 'Oslo']
SEMICeu/CCCEV;2017-09-13T07:47:02Z;7;67;1;4;[67, 64, 52, 50, 37];5;5;['dimi-schepers', 'jimjyang', 'muricna', 'EmidioStani', 'digitalparticipation'];['Nantes', 'Oslo']
SEMICeu/Core-Public-Event-Vocabulary;2018-01-08T14:30:34Z;2;27;1;0;[27];0;1;['EmidioStani'];['Nantes']
SEMICeu/CPSV;2017-09-13T07:53:08Z;0;4;0;0;[];0;0;[];[]
SEMICeu/CPSV-AP;2017-09-13T07:49:11Z;9;131;0;0;[];0;0;[];[]
SEMICeu/SDG-search-service-model;2020-01-29T09:49:55Z;3;48;0;0;[];0;0;[];[]
SEMICeu/ADMS;2022-09-23T08:23:36Z;0;11;0;0;[];0;0;[];[]
SEMICeu/ADMS-AP;2017-09-13T07:54:46Z;1;34;0;0;[];0;0;[];[]
SEMICeu/DCAT-AP;2017-09-13T07:53:27Z;24;431;16;1;[431, 430, 429, 428, 427, 426, 425, 424, 423, 422, 421, 420, 419, 418, 417, 416, 415];14;13;['barthanssens', 'mfuhrmans', 'AntonioDAR', 'peterlubrich', 'bertvannuffelen', 'vbombaerts', 'EmidioStani', 'nvgeorgieva', 'MPaunescu', 'H-a-g-L', 'HendrikBorgelt', 'jakubklimek', 'StroemPhi'];['Brussels', 'Prague, Czechia', 'Luxembourg', 'Hanover, Germany', 'Nantes', 'Namur, Belgium', 'Belgium', 'Italy']
SEMICeu/StatDCAT-AP;2017-09-13T07:54:27Z;2;6;0;0;[];0;0;[];[]
SEMICeu/GeoDCAT-AP;2017-10-17T09:58:21Z;6;149;2;0;[150, 149];1;3;['jakubklimek', 'AntoRot', 'hm-raws'];['Prague, Czechia', 'Rome', 'Lancaster']
SEMICeu/BregDCAT-AP;2022-09-23T16:27:40Z;0;4;0;0;[];0;0;[];[]
SEMICeu/IOPA;2025-03-25T09:22:37Z;0;5;5;0;[5, 4, 3, 2, 1];3;3;['HendrikSchmidt', 'EmielPwC', 'martjau'];['Belgium']
SEMICeu/LFDS-AP;2024-10-03T12:17:59Z;0;0;0;0;[];0;0;[];[]
SEMICeu/MLDCAT-AP;2023-01-16T20:12:21Z;1;22;0;0;[];0;0;[];[]
SEMICeu/STR-AP;2024-01-29T10:02:21Z;1;3;1;0;[3];0;1;['backslash47'];[]
SEMICeu/LinkedDataEventStreams;2021-02-11T11:04:27Z;13;69;8;12;[69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 49, 48, 40, 27, 24, 11, 8];46;10;['constraintAutomaton', 'brechtvdv', 'pietercolpaert', 'rorlic', 'ajuvercr', 'hdelva', 'tuukka', 'sandervd', 'smessie', 'julianrojas87'];['Gent', 'Haacht, Belgium', 'Gent, Belgium', 'Helsinki, Finland', 'Ghent', 'Leuven, Belgium', 'Ghent, Belgium']
SEMICeu/RRMV;2024-12-03T09:46:38Z;2;0;0;0;[];0;0;[];[]
TOTAL;;92;1192;50;26;;105;40;['williamverbeeck', 'peterlubrich', 'vbombaerts', 'nvgeorgieva', 'RobWalker867', 'bertvannuffelen', 'StroemPhi', 'backslash47', 'VladimirAlexiev', 'dimi-schepers', 'martjau', 'julianrojas87', 'EmielPwC', 'pietercolpaert', 'rorlic', 'ajuvercr', 'MPaunescu', 'AntoRot', 'jakubklimek', 'sandervd', 'smessie', 'barthanssens', 'mfuhrmans', 'hm-raws', 'AntonioDAR', 'GeertThijs', 'HendrikSchmidt', 'EmidioStani', 'SusanneWigard', 'HendrikBorgelt', 'tuukka', 'makxdekkers', 'digitalparticipation', 'akuckartz', 'jimjyang', 'muricna', 'brechtvdv', 'hdelva', 'H-a-g-L', 'constraintAutomaton'];['Brussels', 'Gent, Belgium', 'Rome', 'Ghent', 'Belgium', 'Lancaster', 'Luxembourg', 'Hanover, Germany', 'Nantes', 'Leuven, Belgium', 'Bulgaria', 'Helsinki, Finland', 'Namur, Belgium', 'Haacht, Belgium', 'Italy', 'Gent', 'Oslo', 'Prague, Czechia', 'Ghent, Belgium']
